match_date,league,home_team,away_team,home_score,away_score,avg_odds_home_win,avg_odds_draw,avg_odds_away_win,result,p_home,p_draw,p_away
2005-05-08,England: Premier League,Arsenal,Liverpool,3,1,1.714,3.409,4.5,H,0.5308769642413071,0.26691789871211513,0.20220513704657786
2005-05-10,England: Premier League,Manchester United,Chelsea,1,3,2.111,3.201,3.163,A,0.4297589553993993,0.2834180427516813,0.2868230018489194
2005-05-11,England: Premier League,Arsenal,Everton,7,0,1.469,3.705,6.589,H,0.6174979538566309,0.24483252205543607,0.137669524087933
2005-05-15,England: Premier League,Birmingham,Arsenal,2,1,4.04,3.405,1.786,H,0.22479343303156732,0.26671526268649987,0.5084913042819328
2005-05-15,England: Premier League,Bolton,Everton,3,2,1.839,3.334,3.947,H,0.4956597140154545,0.2734007840655131,0.23093950191903234
2005-05-15,England: Premier League,Charlton,Crystal Palace,2,2,2.657,3.474,2.285,D,0.3415737680172418,0.26124395556183405,0.3971822764209241
2005-05-15,England: Premier League,Fulham,Norwich,6,0,2.6318,3.4482,2.3482,H,0.34673917727737497,0.2646447905453847,0.3886160321772403
2005-05-15,England: Premier League,Liverpool,Aston Villa,2,1,1.6364,3.4118,5.21,H,0.5575012930420385,0.26739407817984406,0.17510462877811744
2005-05-15,England: Premier League,Manchester City,Middlesbrough,1,1,2.005,3.148,3.526,D,0.45340260439656227,0.2887777070568956,0.2578196885465421
2005-05-15,England: Premier League,Newcastle Utd,Chelsea,1,1,3.3473,3.34,2.0127,D,0.27283082359552263,0.27342713048541706,0.4537420459190604
2005-05-15,England: Premier League,Southampton,Manchester United,1,2,2.486,3.524,2.408,A,0.3652513882992039,0.25766599072412627,0.37708262097666984
2005-05-15,England: Premier League,Tottenham,Blackburn,0,0,1.5282,3.5964,5.9836,D,0.5951236710109301,0.2528828812253652,0.1519934477637047
2005-05-15,England: Premier League,West Brom,Portsmouth,2,0,1.5436,3.7382,5.5155,H,0.5907400877504014,0.24393194570957136,0.16532796654002713
2005-08-13,England: Premier League,Everton,Manchester United,0,2,4.9264,3.3745,1.6964,A,0.18643073507028912,0.2721684318418351,0.5414008330878758
2005-08-13,England: Premier League,Aston Villa,Bolton,2,2,2.2055,3.1927,3.0973,D,0.4161696162691627,0.2874877341064423,0.2963426496243949
2005-08-13,England: Premier League,Fulham,Birmingham,0,0,2.322,3.187,2.846,D,0.3930096450305015,0.2863408835145355,0.320649471454963
2005-08-13,England: Premier League,Manchester City,West Brom,0,0,1.756,3.321,4.541,D,0.5220690698262047,0.27604736122096224,0.2018835689528332
2005-08-13,England: Premier League,Portsmouth,Tottenham,0,2,2.761,3.223,2.383,A,0.33164428294918835,0.2841048294206358,0.38425088763017584
2005-08-13,England: Premier League,Sunderland,Charlton,1,3,2.2736,3.1955,2.9464,A,0.4027136308792384,0.2865309689147352,0.31075540020602643
2005-08-13,England: Premier League,West Ham,Blackburn,3,1,2.3582,3.2,2.8182,H,0.3885437492263476,0.28633245919549155,0.3251237915781609
2005-08-13,England: Premier League,Middlesbrough,Liverpool,0,0,2.9583,3.2192,2.2558,D,0.30956163400874104,0.2844732175348095,0.40596514845644943
